id;name;latitude;longitude;address;type;description
1;approach Keyboard HTTP;26956;62524;Metal Tasty withdrawal;Path Practical;indexing Operative secondary
2;efficient Plastic;89850;23793;invoice Borders;Kenyan program Industrial;Chips yellow
3;Music Personal Vermont;91487;4261;synthesizing;definition Rupee;Hong Buckinghamshire feed
4;Towels backing;64104;45791;redundant Refined;Web;Tenge SSL
5;motivating Yuan;43579;74086;actuating Mississippi back-end;User world-class virtual;Costa ADP regional
6;Cliffs Caicos Virginia;78088;28645;aggregate neural;Internal;card needs-based cross-platform
7;fresh-thinking;24840;49115;zero hack;Generic Music;Assistant Berkshire
8;Toys;64249;61200;Interactions;Wooden;enhance
9;Computer Fantastic Savings;62462;55914;Grocery Buckinghamshire;Cotton;driver incentivize
10;website Research;85871;30095;National Tenge drive;Division Representative;mesh Gateway
