id;content;created_date;last_updated_date
1;Customer Legacy Internal;2022-05-01T00:44:13;2022-04-30T21:12:50
2;withdrawal;2022-05-01T13:38:06;2022-05-01T16:06:13
3;Divide Station;2022-05-01T20:32:07;2022-05-01T13:45:29
4;Cotton white;2022-05-01T18:07:37;2022-05-01T19:14:33
5;plum blue Industrial;2022-05-01T12:09:29;2022-05-01T15:51:29
6;Card intuitive;2022-05-01T02:46:07;2022-05-01T05:01:12
7;Metical;2022-04-30T23:49:04;2022-05-01T07:27:19
8;Division;2022-05-01T16:05:12;2022-05-01T03:20:19
9;ROI Future-proofed optical;2022-05-01T10:52:49;2022-05-01T02:15:15
10;Buckinghamshire Principal value-added;2022-05-01T17:05:28;2022-05-01T14:06:55
